Ecoregion,Annual_median,Permanent_median,Pasture_median,Urban_median,ClearCut_median,Retention_median,PlantationFuel_median,Plantation_median,SelectionSystem_median,SelectiveLogging_median,Afforested_median,ForExtensive_median,ForIntensive_median
OC0103,NaN,NaN,1.85E-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
OC0105,3.82E-14,3.30E-14,1.44E-14,5.94E-14,2.62E-14,9.97E-15,2.62E-14,2.62E-14,9.97E-15,9.97E-15,0.00E+00,9.97E-15,2.62E-14
OC0106,5.19E-14,4.95E-14,2.32E-14,9.16E-14,3.78E-14,7.11E-15,3.78E-14,3.78E-14,7.11E-15,7.11E-15,0.00E+00,7.11E-15,3.78E-14
OC0108,NaN,NaN,3.37E-13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
OC0109,NaN,NaN,4.18E-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
OC0110,3.21E-14,2.90E-14,2.24E-14,NaN,1.86E-14,3.96E-15,1.86E-14,1.86E-14,3.96E-15,3.96E-15,0.00E+00,3.96E-15,1.86E-14
OC0112,2.20E-13,2.15E-13,NaN,3.00E-13,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
OC0114,3.63E-14,3.53E-14,2.04E-14,5.80E-14,2.11E-14,6.21E-15,2.11E-14,2.11E-14,6.21E-15,6.21E-15,0.00E+00,6.21E-15,2.11E-14
OC0115,NaN,NaN,1.70E-13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
OC0117,NaN,NaN,5.54E-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
OC0201,2.29E-14,2.20E-14,9.45E-15,3.44E-14,1.37E-14,4.92E-15,1.37E-14,1.37E-14,4.92E-15,4.92E-15,0.00E+00,4.92E-15,1.37E-14
OC0202,1.10E-14,1.72E-14,9.58E-15,3.23E-14,1.01E-14,2.39E-15,1.01E-14,1.01E-14,2.39E-15,2.39E-15,0.00E+00,2.39E-15,1.01E-14
OC0203,2.10E-13,2.47E-13,1.23E-13,4.33E-13,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
OC0701,1.07E-14,2.08E-14,1.54E-14,3.91E-14,1.25E-14,2.35E-15,1.25E-14,1.25E-14,2.35E-15,2.35E-15,0.00E+00,2.35E-15,1.25E-14
OC0702,5.12E-15,7.03E-15,3.81E-15,1.35E-14,4.71E-15,1.10E-15,4.71E-15,4.71E-15,1.10E-15,1.10E-15,0.00E+00,1.10E-15,4.71E-15
PA0101,2.69E-15,2.02E-15,1.39E-15,3.53E-15,1.58E-15,4.48E-16,1.58E-15,1.58E-15,4.48E-16,4.48E-16,0.00E+00,4.48E-16,1.58E-15
PA0102,3.38E-15,2.63E-15,2.01E-15,4.83E-15,1.91E-15,5.42E-16,1.91E-15,1.91E-15,5.42E-16,5.42E-16,0.00E+00,5.42E-16,1.91E-15
PA0401,1.36E-15,9.57E-16,6.25E-16,1.89E-15,5.80E-16,3.44E-16,5.80E-16,5.80E-16,3.44E-16,3.44E-16,0.00E+00,3.44E-16,5.80E-16
PA0402,3.41E-16,2.08E-16,1.40E-16,4.57E-16,1.42E-16,6.33E-17,1.42E-16,1.42E-16,6.33E-17,6.33E-17,0.00E+00,6.33E-17,1.42E-16
PA0403,3.01E-14,2.71E-14,1.43E-14,5.26E-14,1.82E-14,6.31E-15,1.82E-14,1.82E-14,6.31E-15,6.31E-15,0.00E+00,6.31E-15,1.82E-14
PA0404,8.25E-16,4.72E-16,3.55E-16,1.07E-15,3.00E-16,1.67E-16,3.00E-16,3.00E-16,1.67E-16,1.67E-16,0.00E+00,1.67E-16,3.00E-16
PA0405,1.62E-16,1.17E-16,5.59E-17,2.34E-16,8.67E-17,2.96E-17,8.67E-17,8.67E-17,2.96E-17,2.96E-17,0.00E+00,2.96E-17,8.67E-17
PA0406,2.09E-15,1.48E-15,9.28E-16,2.90E-15,8.98E-16,5.83E-16,8.98E-16,8.98E-16,5.83E-16,5.83E-16,0.00E+00,5.83E-16,8.98E-16
PA0407,5.58E-15,3.82E-15,2.76E-15,6.93E-15,2.16E-15,9.99E-16,2.16E-15,2.16E-15,9.99E-16,9.99E-16,0.00E+00,9.99E-16,2.16E-15
PA0408,4.49E-15,3.08E-15,2.55E-15,6.06E-15,1.66E-15,9.55E-16,1.66E-15,1.66E-15,9.55E-16,9.55E-16,0.00E+00,9.55E-16,1.66E-15
PA0409,7.51E-17,6.90E-17,5.06E-17,1.69E-16,4.57E-17,1.25E-17,4.57E-17,4.57E-17,1.25E-17,1.25E-17,0.00E+00,1.25E-17,4.57E-17
PA0410,1.19E-15,6.75E-16,6.18E-16,1.64E-15,3.96E-16,2.11E-16,3.96E-16,3.96E-16,2.11E-16,2.11E-16,0.00E+00,2.11E-16,3.96E-16
PA0411,7.45E-16,5.80E-16,3.41E-16,1.08E-15,3.69E-16,1.36E-16,3.69E-16,3.69E-16,1.36E-16,1.36E-16,0.00E+00,1.36E-16,3.69E-16
PA0412,2.45E-16,1.43E-16,9.81E-17,3.44E-16,1.05E-16,4.76E-17,1.05E-16,1.05E-16,4.76E-17,4.76E-17,0.00E+00,4.76E-17,1.05E-16
PA0413,1.15E-15,8.76E-16,4.75E-16,1.55E-15,6.83E-16,2.49E-16,6.83E-16,6.83E-16,2.49E-16,2.49E-16,0.00E+00,2.49E-16,6.83E-16
PA0414,3.26E-16,2.15E-16,1.63E-16,6.74E-16,1.67E-16,1.18E-16,1.67E-16,1.67E-16,1.18E-16,1.18E-16,0.00E+00,1.18E-16,1.67E-16
PA0415,1.33E-15,1.03E-15,5.80E-16,1.87E-15,7.03E-16,2.32E-16,7.03E-16,7.03E-16,2.32E-16,2.32E-16,0.00E+00,2.32E-16,7.03E-16
PA0416,3.57E-15,2.74E-15,1.55E-15,4.45E-15,1.40E-15,7.51E-16,1.40E-15,1.40E-15,7.51E-16,7.51E-16,0.00E+00,7.51E-16,1.40E-15
PA0417,1.79E-15,1.33E-15,1.00E-15,2.78E-15,1.00E-15,3.57E-16,1.00E-15,1.00E-15,3.57E-16,3.57E-16,0.00E+00,3.57E-16,1.00E-15
PA0418,1.86E-15,1.20E-15,7.41E-16,2.36E-15,7.73E-16,4.10E-16,7.73E-16,7.73E-16,4.10E-16,4.10E-16,0.00E+00,4.10E-16,7.73E-16
PA0419,2.23E-16,1.33E-16,8.65E-17,3.20E-16,9.48E-17,4.44E-17,9.48E-17,9.48E-17,4.44E-17,4.44E-17,0.00E+00,4.44E-17,9.48E-17
PA0420,1.12E-15,8.51E-16,6.12E-16,1.50E-15,4.43E-16,1.87E-16,4.43E-16,4.43E-16,1.87E-16,1.87E-16,0.00E+00,1.87E-16,4.43E-16
PA0421,1.60E-16,1.24E-16,5.56E-17,2.54E-16,8.60E-17,2.84E-17,8.60E-17,8.60E-17,2.84E-17,2.84E-17,0.00E+00,2.84E-17,8.60E-17
PA0422,2.93E-15,2.40E-15,1.30E-15,3.52E-15,1.35E-15,5.50E-16,1.35E-15,1.35E-15,5.50E-16,5.50E-16,0.00E+00,5.50E-16,1.35E-15
PA0423,4.18E-16,3.58E-16,1.59E-16,7.15E-16,3.09E-16,9.73E-17,3.09E-16,3.09E-16,9.73E-17,9.73E-17,0.00E+00,9.73E-17,3.09E-16
PA0424,6.98E-16,5.05E-16,2.51E-16,9.39E-16,3.35E-16,1.23E-16,3.35E-16,3.35E-16,1.23E-16,1.23E-16,0.00E+00,1.23E-16,3.35E-16
PA0425,3.32E-15,3.74E-15,3.17E-15,8.62E-15,2.36E-15,5.21E-16,2.36E-15,2.36E-15,5.21E-16,5.21E-16,0.00E+00,5.21E-16,2.36E-15
PA0426,3.66E-16,2.86E-16,2.11E-16,7.14E-16,2.17E-16,9.62E-17,2.17E-16,2.17E-16,9.62E-17,9.62E-17,0.00E+00,9.62E-17,2.17E-16
PA0427,3.64E-15,2.73E-15,1.58E-15,5.38E-15,2.26E-15,8.19E-16,2.26E-15,2.26E-15,8.19E-16,8.19E-16,0.00E+00,8.19E-16,2.26E-15
PA0428,1.37E-15,8.71E-16,5.19E-16,2.29E-15,8.86E-16,3.40E-16,8.86E-16,8.86E-16,3.40E-16,3.40E-16,0.00E+00,3.40E-16,8.86E-16
PA0429,4.93E-17,6.94E-17,5.87E-17,1.52E-16,4.16E-17,8.06E-18,4.16E-17,4.16E-17,8.06E-18,8.06E-18,0.00E+00,8.06E-18,4.16E-17
PA0430,3.36E-16,2.71E-16,1.33E-16,5.51E-16,1.83E-16,6.18E-17,1.83E-16,1.83E-16,6.18E-17,6.18E-17,0.00E+00,6.18E-17,1.83E-16
PA0431,3.78E-16,2.29E-16,1.50E-16,4.95E-16,1.59E-16,7.35E-17,1.59E-16,1.59E-16,7.35E-17,7.35E-17,0.00E+00,7.35E-17,1.59E-16
PA0432,1.19E-15,7.87E-16,5.46E-16,1.58E-15,4.72E-16,2.17E-16,4.72E-16,4.72E-16,2.17E-16,2.17E-16,0.00E+00,2.17E-16,4.72E-16
PA0433,5.91E-15,4.93E-15,3.01E-15,7.97E-15,2.59E-15,1.46E-15,2.59E-15,2.59E-15,1.46E-15,1.46E-15,0.00E+00,1.46E-15,2.59E-15
PA0434,2.54E-15,1.94E-15,1.41E-15,3.94E-15,1.37E-15,5.62E-16,1.37E-15,1.37E-15,5.62E-16,5.62E-16,0.00E+00,5.62E-16,1.37E-15
PA0435,4.23E-16,2.67E-16,1.98E-16,6.55E-16,1.75E-16,1.13E-16,1.75E-16,1.75E-16,1.13E-16,1.13E-16,0.00E+00,1.13E-16,1.75E-16
PA0436,1.07E-16,7.83E-17,4.92E-17,1.87E-16,5.49E-17,2.58E-17,5.49E-17,5.49E-17,2.58E-17,2.58E-17,0.00E+00,2.58E-17,5.49E-17
PA0437,2.78E-15,2.18E-15,1.02E-15,3.51E-15,1.45E-15,4.42E-16,1.45E-15,1.45E-15,4.42E-16,4.42E-16,0.00E+00,4.42E-16,1.45E-15
PA0438,3.72E-16,3.50E-16,1.72E-16,9.26E-16,2.25E-16,1.55E-16,2.25E-16,2.25E-16,1.55E-16,1.55E-16,0.00E+00,1.55E-16,2.25E-16
PA0439,3.19E-15,2.77E-15,1.45E-15,4.02E-15,1.98E-15,5.64E-16,1.98E-15,1.98E-15,5.64E-16,5.64E-16,0.00E+00,5.64E-16,1.98E-15
PA0440,1.58E-15,1.34E-15,6.80E-16,2.39E-15,1.07E-15,3.69E-16,1.07E-15,1.07E-15,3.69E-16,3.69E-16,0.00E+00,3.69E-16,1.07E-15
PA0441,1.83E-15,1.25E-15,6.49E-16,3.09E-15,1.25E-15,4.71E-16,1.25E-15,1.25E-15,4.71E-16,4.71E-16,0.00E+00,4.71E-16,1.25E-15
PA0442,1.64E-16,1.14E-16,1.54E-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
PA0443,2.95E-16,1.89E-16,1.48E-16,6.24E-16,1.22E-16,1.12E-16,1.22E-16,1.22E-16,1.12E-16,1.12E-16,0.00E+00,1.12E-16,1.22E-16
PA0444,1.11E-16,8.60E-17,4.59E-17,1.82E-16,5.78E-17,2.41E-17,5.78E-17,5.78E-17,2.41E-17,2.41E-17,0.00E+00,2.41E-17,5.78E-17
PA0445,2.67E-16,1.63E-16,1.23E-16,3.77E-16,1.17E-16,5.86E-17,1.17E-16,1.17E-16,5.86E-17,5.86E-17,0.00E+00,5.86E-17,1.17E-16
PA0446,2.28E-15,1.73E-15,1.49E-15,3.32E-15,8.58E-16,3.70E-16,8.58E-16,8.58E-16,3.70E-16,3.70E-16,0.00E+00,3.70E-16,8.58E-16
PA0501,7.01E-16,3.20E-16,4.80E-16,1.33E-15,2.15E-16,2.41E-16,2.15E-16,2.15E-16,2.41E-16,2.41E-16,0.00E+00,2.41E-16,2.15E-16
PA0502,1.96E-16,1.18E-16,2.00E-16,4.63E-16,5.70E-17,2.97E-17,5.70E-17,5.70E-17,2.97E-17,2.97E-17,0.00E+00,2.97E-17,5.70E-17
PA0503,1.31E-16,2.08E-16,1.47E-16,4.32E-16,7.93E-17,2.19E-17,7.93E-17,7.93E-17,2.19E-17,2.19E-17,0.00E+00,2.19E-17,7.93E-17
PA0504,3.23E-16,1.76E-16,1.30E-16,4.87E-16,1.44E-16,8.64E-17,1.44E-16,1.44E-16,8.64E-17,8.64E-17,0.00E+00,8.64E-17,1.44E-16
PA0505,1.05E-16,1.06E-16,7.85E-17,2.54E-16,6.33E-17,2.77E-17,6.33E-17,6.33E-17,2.77E-17,2.77E-17,0.00E+00,2.77E-17,6.33E-17
PA0506,1.46E-15,5.24E-16,1.24E-15,2.60E-15,3.34E-16,2.57E-16,3.34E-16,3.34E-16,2.57E-16,2.57E-16,0.00E+00,2.57E-16,3.34E-16
PA0507,3.39E-15,2.63E-15,2.20E-15,4.79E-15,1.27E-15,5.66E-16,1.27E-15,1.27E-15,5.66E-16,5.66E-16,0.00E+00,5.66E-16,1.27E-15
PA0508,1.37E-15,3.43E-16,1.33E-15,2.53E-15,2.66E-16,1.94E-16,2.66E-16,2.66E-16,1.94E-16,1.94E-16,0.00E+00,1.94E-16,2.66E-16
PA0509,2.49E-15,2.02E-15,2.38E-15,5.18E-15,1.35E-15,4.31E-16,1.35E-15,1.35E-15,4.31E-16,4.31E-16,0.00E+00,4.31E-16,1.35E-15
PA0510,4.50E-16,3.55E-16,1.29E-16,7.69E-16,2.79E-16,9.76E-17,2.79E-16,2.79E-16,9.76E-17,9.76E-17,0.00E+00,9.76E-17,2.79E-16
PA0511,1.43E-15,8.23E-16,4.95E-16,2.47E-15,8.18E-16,3.64E-16,8.18E-16,8.18E-16,3.64E-16,3.64E-16,0.00E+00,3.64E-16,8.18E-16
PA0512,1.30E-16,9.19E-17,1.10E-16,NaN,4.52E-17,2.04E-17,4.52E-17,4.52E-17,2.04E-17,2.04E-17,0.00E+00,2.04E-17,4.52E-17
PA0513,3.78E-15,3.43E-15,2.22E-15,5.91E-15,1.82E-15,7.22E-16,1.82E-15,1.82E-15,7.22E-16,7.22E-16,0.00E+00,7.22E-16,1.82E-15
PA0514,9.20E-15,7.48E-15,5.55E-15,NaN,4.90E-15,1.47E-15,4.90E-15,4.90E-15,1.47E-15,1.47E-15,0.00E+00,1.47E-15,4.90E-15
PA0515,1.12E-15,8.53E-16,5.96E-16,1.50E-15,4.68E-16,2.03E-16,4.68E-16,4.68E-16,2.03E-16,2.03E-16,0.00E+00,2.03E-16,4.68E-16
PA0516,4.85E-15,2.63E-15,4.58E-15,9.31E-15,1.67E-15,8.81E-16,1.67E-15,1.67E-15,8.81E-16,8.81E-16,0.00E+00,8.81E-16,1.67E-15
PA0517,1.27E-15,8.17E-16,1.31E-15,3.04E-15,4.01E-16,1.81E-16,4.01E-16,4.01E-16,1.81E-16,1.81E-16,0.00E+00,1.81E-16,4.01E-16
PA0518,8.25E-15,6.38E-15,6.13E-15,1.36E-14,4.23E-15,1.47E-15,4.23E-15,4.23E-15,1.47E-15,1.47E-15,0.00E+00,1.47E-15,4.23E-15
PA0519,1.11E-16,8.61E-17,7.16E-17,2.41E-16,4.43E-17,3.50E-17,4.43E-17,4.43E-17,3.50E-17,3.50E-17,0.00E+00,3.50E-17,4.43E-17
PA0520,3.22E-17,3.86E-17,2.97E-17,8.74E-17,1.83E-17,7.30E-18,1.83E-17,1.83E-17,7.30E-18,7.30E-18,0.00E+00,7.30E-18,1.83E-17
PA0521,2.94E-16,1.72E-16,2.86E-16,6.42E-16,8.98E-17,4.45E-17,8.98E-17,8.98E-17,4.45E-17,4.45E-17,0.00E+00,4.45E-17,8.98E-17
PA0601,5.45E-17,4.77E-17,3.40E-17,1.28E-16,2.98E-17,1.86E-17,2.98E-17,2.98E-17,1.86E-17,1.86E-17,0.00E+00,1.86E-17,2.98E-17
PA0602,NaN,NaN,9.13E-19,3.07E-18,8.72E-19,1.36E-19,8.72E-19,8.72E-19,1.36E-19,1.36E-19,0.00E+00,1.36E-19,8.72E-19
PA0603,1.46E-16,6.35E-17,1.51E-16,3.61E-16,4.06E-17,4.75E-17,4.06E-17,4.06E-17,4.75E-17,4.75E-17,0.00E+00,4.75E-17,4.06E-17
PA0604,NaN,NaN,4.15E-17,NaN,3.76E-17,2.24E-17,3.76E-17,3.76E-17,2.24E-17,2.24E-17,0.00E+00,2.24E-17,3.76E-17
PA0605,NaN,NaN,3.55E-17,8.72E-17,2.09E-17,6.32E-18,2.09E-17,2.09E-17,6.32E-18,6.32E-18,0.00E+00,6.32E-18,2.09E-17
PA0606,1.95E-16,1.43E-16,1.13E-16,4.17E-16,8.57E-17,6.85E-17,8.57E-17,8.57E-17,6.85E-17,6.85E-17,0.00E+00,6.85E-17,8.57E-17
PA0607,3.65E-16,2.42E-16,1.19E-16,8.44E-16,1.65E-16,1.90E-16,1.65E-16,1.65E-16,1.90E-16,1.90E-16,0.00E+00,1.90E-16,1.65E-16
PA0608,6.99E-17,5.82E-17,2.56E-17,1.42E-16,4.08E-17,2.47E-17,4.08E-17,4.08E-17,2.47E-17,2.47E-17,0.00E+00,2.47E-17,4.08E-17
PA0609,1.25E-16,8.67E-17,8.22E-17,2.68E-16,5.32E-17,3.86E-17,5.32E-17,5.32E-17,3.86E-17,3.86E-17,0.00E+00,3.86E-17,5.32E-17
PA0610,7.39E-17,7.13E-17,2.36E-17,1.54E-16,4.99E-17,2.66E-17,4.99E-17,4.99E-17,2.66E-17,2.66E-17,0.00E+00,2.66E-17,4.99E-17
PA0611,5.56E-17,5.03E-17,2.24E-17,1.09E-16,3.30E-17,1.73E-17,3.30E-17,3.30E-17,1.73E-17,1.73E-17,0.00E+00,1.73E-17,3.30E-17
PA0801,5.17E-16,3.51E-16,3.04E-16,7.34E-16,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
PA0802,4.02E-16,1.41E-16,2.93E-16,6.47E-16,9.67E-17,5.47E-17,9.67E-17,9.67E-17,5.47E-17,5.47E-17,0.00E+00,5.47E-17,9.67E-17
PA0803,8.00E-16,4.28E-16,4.53E-16,1.16E-15,2.36E-16,1.36E-16,2.36E-16,2.36E-16,1.36E-16,1.36E-16,0.00E+00,1.36E-16,2.36E-16
PA0804,2.03E-16,8.31E-17,1.43E-16,3.31E-16,5.56E-17,3.08E-17,5.56E-17,5.56E-17,3.08E-17,3.08E-17,0.00E+00,3.08E-17,5.56E-17
PA0805,4.05E-15,2.94E-15,2.34E-15,5.29E-15,1.38E-15,5.93E-16,1.38E-15,1.38E-15,5.93E-16,5.93E-16,0.00E+00,5.93E-16,1.38E-15
PA0806,2.93E-16,1.43E-16,2.10E-16,4.71E-16,8.52E-17,3.38E-17,8.52E-17,8.52E-17,3.38E-17,3.38E-17,0.00E+00,3.38E-17,8.52E-17
PA0807,NaN,NaN,1.22E-16,3.79E-16,1.19E-16,2.33E-17,1.19E-16,1.19E-16,2.33E-17,2.33E-17,0.00E+00,2.33E-17,1.19E-16
PA0808,7.28E-16,3.56E-16,5.97E-16,1.14E-15,2.43E-16,6.99E-17,2.43E-16,2.43E-16,6.99E-17,6.99E-17,0.00E+00,6.99E-17,2.43E-16
PA0809,1.32E-16,9.53E-17,6.59E-17,2.12E-16,6.56E-17,2.78E-17,6.56E-17,6.56E-17,2.78E-17,2.78E-17,0.00E+00,2.78E-17,6.56E-17
PA0810,1.27E-16,7.88E-17,7.98E-17,2.15E-16,5.06E-17,1.85E-17,5.06E-17,5.06E-17,1.85E-17,1.85E-17,0.00E+00,1.85E-17,5.06E-17
PA0811,1.33E-16,7.71E-17,8.90E-17,2.27E-16,4.82E-17,1.61E-17,4.82E-17,4.82E-17,1.61E-17,1.61E-17,0.00E+00,1.61E-17,4.82E-17
PA0812,1.29E-15,8.01E-16,8.96E-16,1.85E-15,3.81E-16,1.68E-16,3.81E-16,3.81E-16,1.68E-16,1.68E-16,0.00E+00,1.68E-16,3.81E-16
PA0813,1.73E-16,1.04E-16,1.19E-16,3.00E-16,6.19E-17,1.94E-17,6.19E-17,6.19E-17,1.94E-17,1.94E-17,0.00E+00,1.94E-17,6.19E-17
PA0814,2.57E-16,1.40E-16,1.53E-16,3.93E-16,9.60E-17,5.11E-17,9.60E-17,9.60E-17,5.11E-17,5.11E-17,0.00E+00,5.11E-17,9.60E-17
PA0815,1.29E-16,6.66E-17,9.56E-17,2.23E-16,4.15E-17,1.98E-17,4.15E-17,4.15E-17,1.98E-17,1.98E-17,0.00E+00,1.98E-17,4.15E-17
PA0816,1.44E-16,8.52E-17,1.10E-16,2.62E-16,5.25E-17,1.54E-17,5.25E-17,5.25E-17,1.54E-17,1.54E-17,0.00E+00,1.54E-17,5.25E-17
PA0817,9.81E-17,6.66E-17,4.12E-17,1.62E-16,4.51E-17,2.38E-17,4.51E-17,4.51E-17,2.38E-17,2.38E-17,0.00E+00,2.38E-17,4.51E-17
PA0818,3.60E-16,1.88E-16,2.70E-16,5.88E-16,1.21E-16,3.76E-17,1.21E-16,1.21E-16,3.76E-17,3.76E-17,0.00E+00,3.76E-17,1.21E-16
PA0901,2.02E-16,1.54E-16,1.05E-16,3.75E-16,8.55E-17,2.92E-17,8.55E-17,8.55E-17,2.92E-17,2.92E-17,0.00E+00,2.92E-17,8.55E-17
PA0902,2.25E-16,2.12E-16,7.35E-17,3.88E-16,1.34E-16,3.26E-17,1.34E-16,1.34E-16,3.26E-17,3.26E-17,0.00E+00,3.26E-17,1.34E-16
PA0903,1.91E-16,1.63E-16,7.90E-17,3.52E-16,1.01E-16,2.66E-17,1.01E-16,1.01E-16,2.66E-17,2.66E-17,0.00E+00,2.66E-17,1.01E-16
PA0904,9.42E-16,4.38E-16,5.10E-16,1.44E-15,2.41E-16,1.11E-16,2.41E-16,2.41E-16,1.11E-16,1.11E-16,0.00E+00,1.11E-16,2.41E-16
PA0905,2.02E-16,1.40E-16,1.92E-16,3.39E-16,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
PA0906,9.50E-16,5.91E-16,5.22E-16,1.37E-15,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
PA0907,4.36E-16,2.90E-16,2.13E-16,7.55E-16,1.71E-16,7.52E-17,1.71E-16,1.71E-16,7.52E-17,7.52E-17,0.00E+00,7.52E-17,1.71E-16
PA0908,4.85E-15,1.99E-15,1.94E-15,6.75E-15,1.16E-15,8.42E-16,1.16E-15,1.16E-15,8.42E-16,8.42E-16,0.00E+00,8.42E-16,1.16E-15
PA1001,2.03E-16,8.08E-17,2.20E-16,4.15E-16,5.74E-17,2.33E-17,5.74E-17,5.74E-17,2.33E-17,2.33E-17,0.00E+00,2.33E-17,5.74E-17
PA1002,1.20E-16,6.89E-17,1.54E-16,2.82E-16,4.48E-17,1.30E-17,4.48E-17,4.48E-17,1.30E-17,1.30E-17,0.00E+00,1.30E-17,4.48E-17
PA1003,1.52E-15,1.24E-15,1.51E-15,2.87E-15,7.59E-16,2.05E-16,7.59E-16,7.59E-16,2.05E-16,2.05E-16,0.00E+00,2.05E-16,7.59E-16
PA1004,2.71E-16,2.01E-16,2.60E-16,5.94E-16,1.06E-16,3.27E-17,1.06E-16,1.06E-16,3.27E-17,3.27E-17,0.00E+00,3.27E-17,1.06E-16
PA1005,3.00E-16,1.90E-16,3.55E-16,NaN,1.24E-16,3.20E-17,1.24E-16,1.24E-16,3.20E-17,3.20E-17,0.00E+00,3.20E-17,1.24E-16
PA1006,6.44E-16,1.72E-16,7.75E-16,1.29E-15,1.36E-16,4.78E-17,1.36E-16,1.36E-16,4.78E-17,4.78E-17,0.00E+00,4.78E-17,1.36E-16
PA1007,1.17E-16,8.94E-17,1.25E-16,NaN,5.10E-17,1.32E-17,5.10E-17,5.10E-17,1.32E-17,1.32E-17,0.00E+00,1.32E-17,5.10E-17
PA1008,6.12E-16,2.99E-16,5.46E-16,1.07E-15,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
PA1009,3.42E-16,3.03E-16,2.99E-16,5.76E-16,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
PA1010,4.36E-15,3.87E-15,3.18E-15,NaN,1.76E-15,7.15E-16,1.76E-15,1.76E-15,7.15E-16,7.15E-16,0.00E+00,7.15E-16,1.76E-15
PA1011,1.21E-16,5.41E-17,1.55E-16,NaN,3.79E-17,1.20E-17,3.79E-17,3.79E-17,1.20E-17,1.20E-17,0.00E+00,1.20E-17,3.79E-17
PA1012,7.70E-16,4.36E-16,8.69E-16,1.67E-15,2.67E-16,1.05E-16,2.67E-16,2.67E-16,1.05E-16,1.05E-16,0.00E+00,1.05E-16,2.67E-16
PA1013,2.62E-16,1.88E-16,2.26E-16,4.85E-16,1.13E-16,2.77E-17,1.13E-16,1.13E-16,2.77E-17,2.77E-17,0.00E+00,2.77E-17,1.13E-16
PA1014,3.08E-16,9.73E-17,3.93E-16,6.61E-16,7.74E-17,2.49E-17,7.74E-17,7.74E-17,2.49E-17,2.49E-17,0.00E+00,2.49E-17,7.74E-17
PA1015,1.85E-16,1.06E-16,2.34E-16,NaN,7.12E-17,1.84E-17,7.12E-17,7.12E-17,1.84E-17,1.84E-17,0.00E+00,1.84E-17,7.12E-17
PA1016,6.79E-17,5.67E-17,7.72E-17,NaN,3.34E-17,1.55E-17,3.34E-17,3.34E-17,1.55E-17,1.55E-17,0.00E+00,1.55E-17,3.34E-17
PA1017,7.44E-16,5.49E-16,8.27E-16,1.59E-15,3.43E-16,9.25E-17,3.43E-16,3.43E-16,9.25E-17,9.25E-17,0.00E+00,9.25E-17,3.43E-16
PA1018,4.71E-16,3.41E-16,3.49E-16,8.47E-16,1.83E-16,7.17E-17,1.83E-16,1.83E-16,7.17E-17,7.17E-17,0.00E+00,7.17E-17,1.83E-16
PA1019,2.47E-16,1.31E-16,2.73E-16,5.07E-16,9.04E-17,2.51E-17,9.04E-17,9.04E-17,2.51E-17,2.51E-17,0.00E+00,2.51E-17,9.04E-17
PA1020,1.72E-16,1.20E-16,2.04E-16,3.95E-16,7.28E-17,1.87E-17,7.28E-17,7.28E-17,1.87E-17,1.87E-17,0.00E+00,1.87E-17,7.28E-17
PA1021,7.22E-16,6.35E-16,8.08E-16,1.47E-15,4.08E-16,9.02E-17,4.08E-16,4.08E-16,9.02E-17,9.02E-17,0.00E+00,9.02E-17,4.08E-16
PA1022,4.44E-16,3.84E-16,4.81E-16,9.56E-16,2.19E-16,6.31E-17,2.19E-16,2.19E-16,6.31E-17,6.31E-17,0.00E+00,6.31E-17,2.19E-16
PA1101,NaN,NaN,1.45E-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
PA1102,NaN,NaN,8.54E-17,1.73E-16,2.88E-17,1.07E-17,2.88E-17,2.88E-17,1.07E-17,1.07E-17,0.00E+00,1.07E-17,2.88E-17
PA1103,NaN,NaN,3.78E-17,NaN,1.96E-17,4.40E-18,1.96E-17,1.96E-17,4.40E-18,4.40E-18,0.00E+00,4.40E-18,1.96E-17
PA1104,NaN,NaN,6.99E-17,NaN,3.92E-17,1.31E-17,3.92E-17,3.92E-17,1.31E-17,1.31E-17,0.00E+00,1.31E-17,3.92E-17
PA1105,NaN,NaN,5.56E-17,1.34E-16,3.19E-17,1.05E-17,3.19E-17,3.19E-17,1.05E-17,1.05E-17,0.00E+00,1.05E-17,3.19E-17
PA1106,4.14E-17,5.60E-17,4.64E-17,1.29E-16,3.51E-17,9.39E-18,3.51E-17,3.51E-17,9.39E-18,9.39E-18,0.00E+00,9.39E-18,3.51E-17
